year,hires,terminations,net_change,net_change_percent
2000,211,26,185,88.00
2001,1082,197,885,82.00
2002,1012,162,850,84.00
2003,1088,193,895,82.00
2004,1087,197,890,82.00
2005,1038,168,870,84.00
2006,1069,173,896,84.00
2007,1058,140,918,87.00
2008,1061,139,922,87.00
2009,1094,147,947,87.00
2010,1050,119,931,89.00
2011,1057,107,950,90.00
2012,1059,103,956,90.00
2013,1042,90,952,91.00
2014,1014,83,931,92.00
2015,1011,72,939,93.00
2016,1076,63,1013,94.00
2017,1043,53,990,95.00
2018,1090,45,1045,96.00
2019,1038,46,992,96.00
2020,967,25,942,97.00
